GENERATION: 2
NUM:          X            Y            Z         FITNESS
  37            0     0.444336    0.472029    3.455629
  38            0     0.457031    0.472307    3.455907
  39            0     0.457375    0.472339    3.455939
  40            0     2.800781    0.472853    3.456453
  41            0      0.43457    0.472952    3.456552
  42            0     0.433679    0.473084    3.456684
  43            0     0.463867    0.473172    3.456772
  44            0     0.426758    0.474378    3.457978
  45            0     0.472656    0.475042    3.458642
  46            0     0.423828    0.475067    3.458667
  47            0     0.473299    0.475213    3.458813
  48            0     0.473554    0.475282    3.458882
  49            0     0.421875    0.475572    3.459172
  50            0     0.420898    0.475838    3.459438
  51            0     0.419504    0.476234    3.459834
  52            0     0.410162    0.479356    3.462956
  53            0     0.405273    0.481309    3.464909
  54            0     0.405273    0.481309    3.464909
  55            0      0.49239    0.482463    3.466063
  56            0     0.397461    0.484875    3.468475
  57            0     0.394531     0.48635     3.46995
  58            0     0.389648    0.488972    3.472572
  59            0     0.505859    0.490198    3.473798
  60            0     0.386719    0.490643    3.474243
  61            0     0.512878    0.495119    3.478719
  62            0     0.372498    0.499754    3.483354
  63            0     0.520508    0.501178    3.484778
  64            0     0.366211    0.504296    3.487896
  65            0     0.525235     0.50531     3.48891
  66            0     0.358398    0.510363    3.493963
  67            0     0.354298    0.513729    3.497329
  68            0     0.352213    0.515489    3.499089
  69            0     0.540039    0.520156    3.503756
  70            0     0.342773    0.523843    3.507443
  71            0     0.338867    0.527483    3.511083
  72            0     0.546875    0.528009    3.511609
  73            0     0.328387    0.537759    3.521359
  74            0     0.325195    0.541032    3.524632
  75            0     0.323242    0.543068    3.526668
  76            0      0.55957    0.544307    3.527907
  77            0     0.320428    0.546044    3.529644
  78            0     0.305664     0.56246     3.54606
  79            0     0.301229    0.567647    3.551247
  80            0     0.575338     0.56773     3.55133
  81            0      0.29767    0.571892    3.555492
  82            0     0.296875     0.57285     3.55645
  83            0     0.293945    0.576411    3.560011
  84            0     0.582031    0.578763    3.562363
  85            0     0.586914    0.587228    3.570828
  86            0     0.276367    0.598766    3.582366
  87            0     0.272296    0.604176    3.587776
  88            0     0.267578    0.610551    3.594151
  89            0     0.265625    0.613222    3.596822
  90            0     0.262906    0.616973    3.600573
  91            0     0.262695    0.617264    3.600864
  92            0     0.261719    0.618621    3.602221
  93            0      0.60537    0.622456    3.606056
  94            0     0.257812    0.624094    3.607694
  95            0     0.256836    0.625474    3.609074
  96            0     0.607422    0.626691    3.610291
  97            0     0.254883    0.628246    3.611846
  98            0     0.250977    0.633845    3.617445
  99            0     0.234125     0.65879     3.64239
 100            0     0.229492    0.665864    3.649464


GENERATION: 4
NUM:          X            Y            Z         FITNESS
   1            0           -2   -2.999065           0
   2            0           -2   -2.999065           0
   3            0           -2   -2.999065           0
   4            0           -2   -2.999065           0
   5            0           -2   -2.999065           0
   6            0           -2   -2.999065           0
   7            0           -2   -2.999065           0
   8            0    -2.003906     -2.9836    0.015465
   9            0           -3   -0.154973    2.844092
  10            0           -3   -0.154973    2.844092
  11            0           -3   -0.154973    2.844092
  12            0           -3   -0.154973    2.844092
  13            0           -3   -0.154973    2.844092
  14            0           -3   -0.154973    2.844092
  15            0    -3.003906   -0.152298    2.846766
  16            0           -4   -0.000436    2.998628
  17            0           -4   -0.000436    2.998628
  18            0           -5           0    2.999065
  19            0     4.088867    0.000439    2.999504
  20            0     4.088867    0.000439    2.999504
  21            0     4.086914    0.000445     2.99951
  22            0     4.078125    0.000473    2.999538
  23            0     4.073242    0.000489    2.999554
  24            0     4.054688    0.000556    2.999621
  25            0     4.017578    0.000716    2.999781
  26            0     4.008789     0.00076    2.999825
  27            0     4.000977    0.000801    2.999866
  28            0     3.525391     0.01526    3.014325
  29            0     3.439453    0.024542    3.023607
  30            0     3.414062    0.028145    3.027209
  31            0     3.039062    0.176887    3.175952
  32            0     3.025391    0.187894    3.186959
  33            0     2.982422    0.226446    3.225511
  34            0     2.952148    0.257534    3.256599
  35            0     2.951813    0.257899    3.256963
  36            0     2.951172    0.258595     3.25766
  37            0      2.93457    0.277208    3.276273
  38            0     2.930664     0.28175    3.280815
  39            0     2.929688    0.282895     3.28196
  40            0     2.926758    0.286355     3.28542
  41            0     2.925781    0.287516    3.286581
  42            0     2.923325    0.290455    3.289519
  43            0     2.915039    0.300555     3.29962
  44            0     2.887695    0.336022    3.335087
  45            0     2.871094    0.359227    3.358292
  46            0     2.868164    0.363458    3.362523
  47            0      2.84409    0.399828    3.398893
  48            0      2.84375    0.400363    3.399428
  49            0     2.827148    0.427196    3.426261
  50            0     2.825195    0.430448    3.429513
  51            0     2.819146    0.440651    3.439716
  52            0      2.80957    0.457209    3.456274
  53            0     2.805664    0.464109    3.463174
  54            0     0.450195    0.471946    3.471011
  55            0     0.451172    0.471967    3.471032
  56            0     0.444336    0.472029    3.471094
  57            0     0.457031    0.472307    3.471372
  58            0     0.457375    0.472339    3.471403
  59            0     2.800781    0.472853    3.471918
  60            0      0.43457    0.472952    3.472017
  61            0     0.433679    0.473084    3.472149
  62            0     0.463867    0.473172    3.472237
  63            0      0.46582    0.473513    3.472578
  64            0     0.467773    0.473897    3.472962
  65            0     0.426758    0.474378    3.473443
  66            0     0.425781    0.474599    3.473663
  67            0     0.425781    0.474599    3.473663
  68            0     0.425781    0.474599    3.473663
  69            0     0.472656    0.475042    3.474107
  70            0     0.423828    0.475067    3.474132
  71            0     0.473299    0.475213    3.474278
  72            0     0.473554    0.475282    3.474347
  73            0     0.421875    0.475572    3.474637
  74            0     0.420898    0.475838    3.474903
  75            0     0.419504    0.476234    3.475299
  76            0     0.418945    0.476398    3.475462
  77            0     0.418945    0.476398    3.475462
  78            0     0.482422    0.478147    3.477212
  79            0     0.482422    0.478147    3.477212
  80            0     0.483398    0.478518    3.477583
  81            0     0.483398    0.478518    3.477583
  82            0     0.483398    0.478518    3.477583
  83            0     0.410162    0.479356     3.47842
  84            0     0.410156    0.479358    3.478423
  85            0     0.405273    0.481309    3.480374
  86            0     0.405273    0.481309    3.480374
  87            0     0.491211    0.481892    3.480956
  88            0     0.491211    0.481892    3.480956
  89            0      0.49239    0.482463    3.481528
  90            0     0.401367    0.483025    3.482089
  91            0     0.397461    0.484875     3.48394
  92            0     0.395508     0.48585    3.484915
  93            0     0.394531     0.48635    3.485415
  94            0     0.389648    0.488972    3.488037
  95            0     0.504883    0.489562    3.488627
  96            0     0.387695    0.490078    3.489143
  97            0     0.505859    0.490198    3.489263
  98            0     0.386719    0.490643    3.489708
  99            0     0.507812    0.491505     3.49057
 100            0     0.507812    0.491505     3.49057


GENERATION: 5
NUM:          X            Y            Z         FITNESS
   1            0           -2   -2.999065           0
   2            0           -2   -2.999065           0
   3            0           -2   -2.999065           0
   4            0           -2   -2.999065           0
   5            0           -2   -2.999065           0
   6            0           -2   -2.999065           0
   7            0           -2   -2.999065           0
   8            0    -2.003906     -2.9836    0.015465
   9            0           -3   -0.154973    2.844092
  10            0           -3   -0.154973    2.844092
  11            0           -3   -0.154973    2.844092
  12            0           -3   -0.154973    2.844092
  13            0           -3   -0.154973    2.844092
  14            0           -3   -0.154973    2.844092
  15            0    -3.003906   -0.152298    2.846766
  16            0           -4   -0.000436    2.998628
  17            0           -4   -0.000436    2.998628
  18            0           -5           0    2.999065
  19            0     4.103516    0.000396    2.999461
  20            0      4.09375    0.000424    2.999489
  21            0      4.09375    0.000424    2.999489
  22            0     4.088867    0.000439    2.999504
  23            0     4.088867    0.000439    2.999504
  24            0     4.086914    0.000445     2.99951
  25            0     4.078125    0.000473    2.999538
  26            0     4.073242    0.000489    2.999554
  27            0     4.054688    0.000556    2.999621
  28            0     4.046875    0.000586    2.999651
  29            0     4.046875    0.000586    2.999651
  30            0     4.046875    0.000586    2.999651
  31            0     4.041992    0.000606    2.999671
  32            0     4.040039    0.000614    2.999679
  33            0     4.040039    0.000614    2.999679
  34            0     4.026367    0.000675    2.999739
  35            0     4.026367    0.000675    2.999739
  36            0     4.017578    0.000716    2.999781
  37            0     4.008789     0.00076    2.999825
  38            0     4.001953    0.000796    2.999861
  39            0     4.000977    0.000801    2.999866
  40            0     3.525391     0.01526    3.014325
  41            0     3.439453    0.024542    3.023607
  42            0     3.414062    0.028145    3.027209
  43            0     3.064453    0.157928    3.156993
  44            0     3.039062    0.176887    3.175952
  45            0     3.025391    0.187894    3.186959
  46            0     2.996094      0.2135    3.212565
  47            0     2.982422    0.226446    3.225511
  48            0     2.978516    0.230266    3.229331
  49            0     2.972656    0.236101    3.235166
  50            0      2.96582    0.243069    3.242134
  51            0     2.957031    0.252286    3.251351
  52            0     2.952148    0.257534    3.256599
  53            0     2.951813    0.257899    3.256963
  54            0     2.951172    0.258595     3.25766
  55            0      2.93457    0.277208    3.276273
  56            0     2.933594    0.278338    3.277403
  57            0     2.930664     0.28175    3.280815
  58            0     2.929688    0.282895     3.28196
  59            0     2.926758    0.286355     3.28542
  60            0     2.925781    0.287516    3.286581
  61            0     2.923325    0.290455    3.289519
  62            0     2.921875    0.292201    3.291266
  63            0     2.915039    0.300555     3.29962
  64            0     2.910156    0.306645     3.30571
  65            0     2.910156    0.306645     3.30571
  66            0     2.901367    0.317871    3.316936
  67            0     2.891602    0.330749    3.329814
  68            0     2.887695    0.336022    3.335087
  69            0     2.879883     0.34678    3.345845
  70            0     2.871094    0.359227    3.358292
  71            0     2.868164    0.363458    3.362523
  72            0     2.853516    0.385244    3.384308
  73            0     2.847656    0.394257    3.393322
  74            0     2.847656    0.394257    3.393322
  75            0     2.847656    0.394257    3.393322
  76            0      2.84409    0.399828    3.398893
  77            0      2.84375    0.400363    3.399428
  78            0     2.832031    0.419154    3.418219
  79            0     2.827148    0.427196    3.426261
  80            0     2.825195    0.430448    3.429513
  81            0     2.823242    0.433721    3.432786
  82            0     2.819146    0.440651    3.439716
  83            0      2.80957    0.457209    3.456274
  84            0     2.805664    0.464109    3.463174
  85            0     0.450195    0.471946    3.471011
  86            0     0.451172    0.471967    3.471032
  87            0     0.444336    0.472029    3.471094
  88            0     0.457031    0.472307    3.471372
  89            0     0.457375    0.472339    3.471403
  90            0     2.800781    0.472853    3.471918
  91            0      0.43457    0.472952    3.472017
  92            0     0.433679    0.473084    3.472149
  93            0     0.463867    0.473172    3.472237
  94            0      0.46582    0.473513    3.472578
  95            0     0.467773    0.473897    3.472962
  96            0      0.46875    0.474104    3.473169
  97            0     0.427734    0.474167    3.473232
  98            0     0.427734    0.474167    3.473232
  99            0     0.426758    0.474378    3.473443
 100            0     0.425781    0.474599    3.473663


GENERATION: 6
NUM:          X            Y            Z         FITNESS
   1            0           -2   -2.999065           0
   2            0           -2   -2.999065           0
   3            0           -2   -2.999065           0
   4            0           -2   -2.999065           0
   5            0           -2   -2.999065           0
   6            0           -2   -2.999065           0
