INICIJALNO
GENERATION: 1
NUM:          X            Y            Z         FITNESS
   1     0.406299    -2.680369   -0.569468           0
   2     0.567943     -2.80995   -0.315213           0
   3     0.348574    -2.935088   -0.218335           0
   4    -0.808923    -1.878487   -0.178055           0
   5     2.991474    -2.513858    0.000035           0
   6    -1.386613       3.0467    0.024773           0
   7            0     2.986161     0.22284           0
   8     2.162942    -0.945827    0.275086           0
   9     0.340011    -0.691426    0.336492           0
  10     2.353574     0.189299    0.338726           0
  11     0.570729     0.329767     0.41108           0
  12            0     0.430502     0.47362           0
  13     2.191638            0    0.592146           0
  14     2.024762     0.617912    0.636434           0
  15    -1.592555    -1.407641    0.645397           0
  16     -0.03245    -0.984011    0.761066           0
  17      0.95849    -0.703129    0.882731           0
  18     1.638636     0.611639    1.371921           0
  19      0.93535     0.744365    1.442007           0
  20    -0.030016      -0.8745    1.484832           0
  21     0.942517     0.933728    1.635871           0
  22     1.311444    -0.586757     1.75307           0
  23      1.01724     1.633767    2.152854           0
  24    -0.545346     2.181013    2.202642           0
  25     -0.89808     1.796519    2.253436           0
  26     -0.04499    -0.651603    2.399673           0
  27    -0.696658    -1.177501    2.498774           0
  28    -0.885165    -0.580522    2.754782           0
  29       0.8196     1.467261    2.985104           0
  30    -0.132852     1.581058    5.597393           0


GENERATION: 2
NUM:          X            Y            Z         FITNESS
   1     -0.06543    -1.712891   -3.421404   -2.851936
   2     0.406299    -2.680369   -0.569468           0
   3    -0.919922     0.680664   -0.565809    0.003659
   4     0.567943     -2.80995   -0.315213    0.254255
   5     0.348574    -2.935088   -0.218335    0.351132
   6     0.070312    -2.939453   -0.210309    0.359159
   7    -0.808923    -1.878487   -0.178055    0.391412
   8     0.834961    -0.884766   -0.162328     0.40714
   9    -0.308594    -3.881836   -0.000447    0.569021
  10    -3.022461     1.793945   -0.000252    0.569215
  11    -3.764648     1.668945   -0.000012    0.569456
  12    -0.597656     -6.84082           0    0.569468
  13      4.52832    -4.119141           0    0.569468
  14    -0.882812     5.581055           0    0.569468
  15     2.195312     4.879883           0    0.569468
  16     2.991474    -2.513858    0.000035    0.569502
  17    -1.386613       3.0467    0.024773    0.594241
  18    -0.511719     3.213867    0.060349    0.629817
  19     0.951172    -0.905273    0.080658    0.650126
  20     2.555664     0.556641    0.122391    0.691859
  21    -1.755859     1.683594     0.16027    0.729738
  22     2.208008    -1.078125    0.181372    0.750839
  23            0     2.986161     0.22284    0.792308
  24     2.162942    -0.945827    0.275086    0.844554
  25     0.340011    -0.691426    0.336492     0.90596
  26     2.353574     0.189299    0.338726    0.908193
  27       2.3125           -0    0.405629    0.975097
  28     0.570729     0.329767     0.41108    0.980547
  29            0     0.430502     0.47362    1.043088
  30     1.645508     1.507812    0.573042     1.14251


GENERATION: 3
NUM:          X            Y            Z         FITNESS
   1     -0.06543    -1.712891   -3.421404           0
   2    -0.542969     -1.87793   -1.127037    2.294367
   3     0.406299    -2.680369   -0.569468    2.851936
   4    -0.919922     0.680664   -0.565809    2.855595
   5    -2.144531     0.054688   -0.564329    2.857075
   6     0.567943     -2.80995   -0.315213    3.106191
   7     0.574219    -2.833984   -0.285474     3.13593
   8     0.081055    -2.884766   -0.265697    3.155707
   9     0.348574    -2.935088   -0.218335    3.203069
  10     0.070312    -2.939453   -0.210309    3.211095
  11     1.558594    -2.243164   -0.197058    3.224346
  12    -0.808923    -1.878487   -0.178055    3.243349
  13     0.834961    -0.884766   -0.162328    3.259076
  14    -0.347656     -2.90332   -0.150434     3.27097
  15     0.459961    -3.082031   -0.108772    3.312632
  16    -0.308594    -3.881836   -0.000447    3.420957
  17    -3.022461     1.793945   -0.000252    3.421152
  18    -3.764648     1.668945   -0.000012    3.421392
  19     6.638672     1.709961           0    3.421404
  20     0.589844     6.754883           0    3.421404
  21    -0.597656     -6.84082           0    3.421404
  22      4.52832    -4.119141           0    3.421404
  23      5.44043    -2.118164           0    3.421404
  24    -0.882812     5.581055           0    3.421404
  25     3.353516     4.208008           0    3.421404
  26     2.947266    -4.526367           0    3.421404
  27     2.195312     4.879883           0    3.421404
  28        -3.25     4.117188           0    3.421404
  29     2.055664     4.498047           0    3.421404
  30     4.616211     0.072266           0    3.421404


GENERATION: 4
NUM:          X            Y            Z         FITNESS
   1     -0.06543    -1.712891   -3.421404           0
   2    -0.117188     -1.62793   -3.076063    0.345341
   3    -0.542969     -1.87793   -1.127037    2.294367
   4     0.535156    -0.929688   -0.951473    2.469931
   5     0.406299    -2.680369   -0.569468    2.851936
   6    -0.919922     0.680664   -0.565809    2.855595
   7    -2.144531     0.054688   -0.564329    2.857075
   8    -0.894531     0.664062   -0.521623    2.899781
   9     0.268555    -2.759766   -0.445973    2.975431
  10     0.567943     -2.80995   -0.315213    3.106191
  11     0.597656     -2.80957   -0.306853    3.114551
  12     0.574219    -2.833984   -0.285474     3.13593
  13     0.081055    -2.884766   -0.265697    3.155707
  14     0.348574    -2.935088   -0.218335    3.203069
  15     0.070312    -2.939453   -0.210309    3.211095
  16     1.558594    -2.243164   -0.197058    3.224346
  17    -0.808923    -1.878487   -0.178055    3.243349
  18     0.834961    -0.884766   -0.162328    3.259076
  19    -0.347656     -2.90332   -0.150434     3.27097
  20    -0.347656     -2.96582   -0.114101    3.307303
  21     0.459961    -3.082031   -0.108772    3.312632
  22     1.834961    -1.953125   -0.091255    3.330149
  23     1.054688    -2.993164   -0.070748    3.350656
  24    -0.308594    -3.881836   -0.000447    3.420957
  25    -3.022461     1.793945   -0.000252    3.421152
  26    -3.764648     1.668945   -0.000012    3.421392
  27     0.616211     7.951172           0    3.421404
  28     7.628906     0.996094           0    3.421404
  29     6.638672     1.709961           0    3.421404
  30      0.55957     6.873047           0    3.421404


GENERATION: 5
NUM:          X            Y            Z         FITNESS
   1     -0.06543    -1.712891   -3.421404           0
   2    -0.117188     -1.62793   -3.076063    0.345341
   3    -0.542969     -1.87793   -1.127037    2.294367
   4     0.535156    -0.929688   -0.951473    2.469931
   5     0.406299    -2.680369   -0.569468    2.851936
   6    -0.919922     0.680664   -0.565809    2.855595
   7    -2.144531     0.054688   -0.564329    2.857075
   8    -0.894531     0.664062   -0.521623    2.899781
   9    -2.056641     0.680664   -0.497753    2.923651
  10     0.268555    -2.759766   -0.445973    2.975431
  11     1.433594     -2.12207   -0.380289    3.041115
  12     0.567943     -2.80995   -0.315213    3.106191
  13     0.597656     -2.80957   -0.306853    3.114551
  14     0.574219    -2.833984   -0.285474     3.13593
  15    -0.097656     -2.84082   -0.280257    3.141147
  16     0.081055    -2.884766   -0.265697    3.155707
  17     -0.34375    -2.774414   -0.257566    3.163838
  18     0.348574    -2.935088   -0.218335    3.203069
  19     0.070312    -2.939453   -0.210309    3.211095
  20     1.558594    -2.243164   -0.197058    3.224346
  21    -0.808923    -1.878487   -0.178055    3.243349
  22     0.834961    -0.884766   -0.162328    3.259076
  23    -0.347656     -2.90332   -0.150434     3.27097
  24    -0.347656     -2.96582   -0.114101    3.307303
  25     0.459961    -3.082031   -0.108772    3.312632
  26     1.834961    -1.953125   -0.091255    3.330149
  27     1.054688    -2.993164   -0.070748    3.350656
  28     1.558594     -2.87207   -0.028487    3.392917
  29     0.417969     -3.37793   -0.025655    3.395749
  30    -0.054688     -3.87793    -0.00096    3.420444


GENERATION: 6
NUM:          X            Y            Z         FITNESS
   1     -0.06543    -1.712891   -3.421404           0
   2    -0.117188     -1.69043   -3.169875    0.251529
   3    -0.117188     -1.62793   -3.076063    0.345341
